trip_duration,distance_traveled,num_of_passengers,fare,tip,miscellaneous_fees,total_fare,surge_applied
1076,4.18,1,0,0,13.5,0,0
429,1.48,4,0,0,13.5,0,0
856,4.15,1,0,24,6,0,0
622,3.22,1,0,15,5.625,0,0
507,3.98,1,0,0,2.25,0,0
933,9.01,2,0,0,26.625,0,1
266,1,1,0,10,5.9,0,0
793,3.03,1,0,0,6,0,0
748,1.13,1,0,0,6,0,0
893,10.81,2,0,0,2.25,0,0
723,3.98,1,0,0,6,0,0
329,0.89,1,0,0,9.75,0,0
415,2.29,1,0,0,34.125,0,1
357,2.48,1,0,17,29.95,0,1
762,3.11,1,0,0,26.625,0,1
660,4.04,1,0,0,6,0,0
1242,10.94,1,0,0,9.75,0,0
659,4.33,4,0,17,5.95,0,0
603,3.93,5,0,26,30.7,0,1
2962,17.01,1,0,62,26.2,0,1
1079,14.81,1,0,38,9.25,0,0
468,1.79,1,0,13,13.7,0,0
4281,28.97,1,0,120,88.575,0,0
1090,7.11,1,0,8,29.875,0,1
495,1.93,2,0,12,10.2,0,0
795,1.29,1,0,0,13.5,0,0
1753,5.89,1,0,35,34.45,0,1
1615,7.02,1,0,26,26.875,0,1
906,8,2,0,32,33.7,0,1
1802,3.7,1,0,0,13.5,0,0
1217,14.32,1,0,0,26.625,0,1
232,1.09,1,0,0,6,0,0
2076,27.65,1,0,0,9.75,0,0
360,1.54,1,0,18,13.05,0,0
825,2.8,1,0,16,6.2,0,0
7,0.21,2,0,38,2.35,0,0
757,3.22,1,0,15,34.125,0,1
262,1.83,1,0,14,6.175,0,0
2766,18.52,1,0,0,26.625,0,1
612,3.86,1,0,0,30.375,0,1
320,0.89,1,0,9,5.7,0,0
1058,6.44,1,0,15,26.625,0,1
661,7.26,1,0,0,9.75,0,0
329,2.41,1,0,0,13.5,0,0
495,1.53,1,0,0,6,0,0
1637,5.13,1,0,0,26.625,0,1
343,1.72,1,0,0,6,0,0
458,1.71,1,0,9,6,0,0
241,0.9,1,0,8,5.95,0,0
510,1.96,1,0,0,6,0,0
715,2.74,1,0,23,5.875,0,0
558,3.54,1,0,16,13.7,0,0
1070,7.76,1,0,8,34.225,0,1
397,4.35,1,0,28,26.75,0,1
759,3.49,1,0,0,6,0,0
382,1.08,1,0,0,6,0,0
672,4.67,1,0,17,34.075,0,1
1123,3.04,1,0,0,6,0,0
1319,5.66,1,0,0,26.625,0,1
1634,9.5,1,0,38,26.875,0,1
362,1.75,1,0,10,6.2,0,0
866,3.27,1,0,27,5.55,0,0
502,1.09,1,0,0,2.25,0,0
775,4.73,1,0,24,30.45,0,1
1225,6.42,1,0,0,26.625,0,1
1133,4.28,1,0,0,2.25,0,0
258,1.96,1,0,23,2.2,0,0
764,5.33,1,0,24,26.7,0,1
1135,7.24,1,0,0,13.5,0,0
616,7.56,1,0,38,9.25,0,0
248,0.87,1,0,11,5.875,0,0
242,1.13,1,0,9,5.625,0,0
412,2.22,1,0,0,6,0,0
440,1.82,1,0,16,26.45,0,1
1234,10.88,3,0,80,22.45,0,1
1495,3.22,2,0,0,13.5,0,0
649,4.36,1,0,23,26.2,0,1
643,2.24,1,0,0,6,0,0
332,0.87,1,0,0,6,0,0
632,2.67,1,0,15,5.7,0,0
1315,8.61,1,0,26,34.375,0,1
325,1.37,1,0,10,9.95,0,0
745,3.27,2,0,17,5.95,0,0
459,2.46,1,0,13,9.95,0,0
1497,5.62,5,0,0,13.5,0,0
922,4.02,1,0,0,6,0,0
19816,1.3,1,0,14,13.45,0,0
374,2,1,0,0,6,0,0
446,1.63,1,0,0,13.5,0,0
442,0.92,1,0,0,6,0,0
522,2.12,1,0,0,6,0,0
436,1.32,1,0,12,13.2,0,0
338,1.46,1,0,15,10.05,0,0
2084,15.51,3,0,0,9.75,0,0
1292,5.42,1,0,0,9.75,0,0
658,2.74,1,0,7,6.35,0,0
436,1.48,1,0,0,6,0,0
492,2.41,1,0,0,6,0,0
1105,5.86,1,0,35,30.175,0,1
771,3.86,1,0,13,6.275,0,0
962,6.24,1,0,0,6,0,0
1029,7.58,1,0,1,33.725,0,1
1960,19.94,1,0,0,58.875,0,0
38,0.14,2,0,0,6,0,0
405,1.79,1,0,0,6,0,0
942,11.91,1,0,44,55,0,0
1105,3.11,2,0,0,13.5,0,0
1104,11.41,1,0,39,26.7,0,1
1040,5.04,1,0,21,34.575,0,1
948,3.85,1,0,30,9.75,0,0
832,3.01,2,0,0,13.5,0,0
2040,12.55,1,0,52,54.65,0,0
282,1.77,5,0,9,6.45,0,0
863,4.18,3,0,0,6,0,0
998,3.6,1,0,0,6,0,0
589,2.9,1,0,11,26.875,0,1
302,0.97,1,0,0,6,0,0
262,0.92,1,0,7,5.525,0,0
932,4.33,1,0,20,5.95,0,0
659,5.07,1,0,0,30.375,0,1
774,3.41,1,0,8,5.5,0,0
508,2.3,1,0,0,9.75,0,0
953,4.15,1,0,0,6,0,0
867,4.1,1,0,0,6,0,0
498,2.09,1,0,12,6.45,0,0
534,2.16,1,0,0,6,0,0
508,2.33,6,0,0,6,0,0
303,1.29,1,0,9,6.375,0,0
901,3.28,1,0,0,6,0,0
2586,12.96,1,0,0,6,0,0
951,4.1,1,0,24,26.7,0,1
280,0.97,1,0,0,6,0,0
163,0.89,1,0,7,6.2,0,0
862,9.12,1,0,38,9.25,0,0
6329,11.01,1,0,0,13.5,0,0
522,5.42,1,0,8,5.5,0,0
701,1.82,1,0,19,13.85,0,0
412,1.22,1,0,0,6,0,0
558,2.7,1,0,14,5.95,0,0
677,2.57,1,0,18,6.375,0,0
3360,9.29,1,0,65,13.75,0,0
1330,6.6,1,0,36,13.5,0,0
695,1.83,1,0,21,5.925,0,0
773,2.38,1,0,0,6,0,0
1494,8.21,2,0,26,34.375,0,1
967,14.58,1,0,75,2.7,0,0
293,1.59,1,0,9,6.45,0,0
2049,16.43,1,0,0,28.5,0,0
649,4.65,1,0,23,6.1,0,0
419,2.54,1,0,22,10.25,0,0
1258,9.61,1,0,0,34.125,0,1
2175,5.46,1,0,24,5.7,0,0
277,1.69,1,0,0,9.75,0,0
946,3.22,1,0,0,6,0,0
826,3.15,1,0,0,13.5,0,0
632,2.62,1,0,14,5.95,0,0
298,0.97,1,0,0,6,0,0
980,6.6,1,0,0,9.75,0,0
1096,8.47,1,0,0,34.125,0,1
489,3.35,5,0,14,5.95,0,0
2221,23.5,1,0,65,5.875,0,0
682,2.57,1,0,0,6,0,0
755,8.38,1,0,15,13.5,0,0
643,0.06,2,0,0,2.25,0,0
188,0.64,3,0,8,9.7,0,0
2128,11.94,2,0,72,26.775,0,1
681,2.93,5,0,0,6,0,0
1948,16.79,1,0,52,13.7,0,0
473,2.22,2,0,6,6,0,0
379,1.96,1,0,18,2.7,0,0
468,1.75,1,0,16,14,0,0
3824,20.15,1,0,15,6,0,0
975,4.09,1,0,38,34.525,0,1
768,7.39,1,0,24,9.45,0,0
1497,10.91,1,0,51,26.325,0,1
983,4.33,5,0,30,26.7,0,1
854,4.83,1,0,0,26.625,0,1
2864,15.82,1,0,79,33.95,0,1
612,2.24,1,0,0,13.5,0,0
255,1.19,1,0,11,5.875,0,0
709,4.1,1,0,23,29.95,0,1
1324,7.4,1,0,0,13.5,0,0
516,2.12,1,0,0,6,0,0
556,2.2,1,0,11,13.525,0,0
2368,10.65,1,0,70,26.525,0,1
1387,11.52,1,0,0,58.875,0,0
1109,4.02,1,0,8,13,0,0
733,2.85,1,0,20,26.2,0,1
1279,3.85,1,0,8,9.25,0,0
502,2.57,2,0,0,6,0,0
335,1.53,1,0,0,6,0,0
685,7.4,1,0,0,13.5,0,0
231,1.98,1,0,10,9.95,0,0
787,4.28,1,0,8,5.5,0,0
1111,3.86,1,0,0,6,0,0
944,4.02,1,0,28,6.5,0,0
689,7.35,1,0,43,26.525,0,1
492,2.12,1,0,12,27.075,0,1
954,3.51,2,0,30,2.7,0,0
852,8.67,1,0,0,9.75,0,0
267,0.19,5,0,0,13.5,0,0
650,3.48,1,0,15,6.45,0,0
